Date,Open,High,Low,Close,Volume
1-Dec-17,1172.05,1179.65,1152.00,1162.35,4107094
30-Nov-17,1167.10,1178.57,1160.00,1176.75,4509208
29-Nov-17,1194.80,1194.80,1145.19,1161.27,9257512
28-Nov-17,1204.88,1205.34,1188.52,1193.60,4559449
27-Nov-17,1202.66,1213.41,1191.15,1195.83,6744045
24-Nov-17,1160.70,1186.84,1160.70,1186.00,3528011
22-Nov-17,1141.00,1160.27,1141.00,1156.16,3555273
21-Nov-17,1132.86,1140.00,1128.20,1139.49,2479397
20-Nov-17,1129.77,1133.42,1122.55,1126.31,2163855
17-Nov-17,1138.28,1138.80,1125.81,1129.88,2413388
16-Nov-17,1130.16,1138.16,1130.05,1137.29,2213322
15-Nov-17,1127.01,1131.75,1121.63,1126.69,3928680
14-Nov-17,1130.11,1138.00,1123.89,1136.84,3138423
13-Nov-17,1123.00,1139.90,1122.34,1129.17,2918439
10-Nov-17,1126.10,1131.75,1124.06,1125.35,2179937
9-Nov-17,1125.96,1129.62,1115.77,1129.13,3732732
8-Nov-17,1122.82,1135.54,1119.11,1132.88,2581451
7-Nov-17,1124.74,1130.60,1117.50,1123.17,2688977
6-Nov-17,1109.15,1125.41,1108.77,1120.66,3381138
3-Nov-17,1091.15,1112.68,1088.52,1111.60,3751480
2-Nov-17,1097.81,1101.94,1086.87,1094.22,3684876
1-Nov-17,1105.40,1108.97,1096.74,1103.68,3755511
31-Oct-17,1109.00,1110.54,1101.12,1105.28,3476967
30-Oct-17,1095.01,1122.79,1093.56,1110.85,6613064
27-Oct-17,1058.14,1105.58,1050.55,1100.95,16565021
26-Oct-17,980.33,982.90,968.55,972.43,5618675
25-Oct-17,978.00,984.44,966.24,972.91,3033113
24-Oct-17,969.00,979.85,965.00,975.90,2723935
23-Oct-17,986.73,986.78,962.50,966.30,3494100
